AQD CODE,DESCRIPTION,1ST,2ND CODE,2ND TITLE,3RD CODE,3RD TITLE,OFFICER AWARDING CRITERIA,NOTE_1,NOTE_2,NOTE_3,DESIGNATOR_1,DESIGNATOR_2,DESIGNATOR_3,DESIGNATOR_4,DESIGNATOR_5,DESIGNATOR_6,DESIGNATOR_7,DESIGNATOR_8,DESIGNATOR_9,DESIGNATOR_10,DESIGNATOR_11,DESIGNATOR_12,DESIGNATOR_13,DESIGNATOR_14,DESIGNATOR_15,DESIGNATOR_16,DESIGNATOR_17,DESIGNATOR_18,DESIGNATOR_19,GRADES_1,GRADES_2,LENGTH OF VALIDITY,MANPOWER TYPE,BILLET DETAILIING PREREQUISITE,NOTE_1,NOTE_2,NOTE_3,DESIGNATOR_1,DESIGNATOR_2,DESIGNATOR_3,DESIGNATOR_4,DESIGNATOR_5,DESIGNATOR_6,DESIGNATOR_7,DESIGNATOR_8,DESIGNATOR_9,DESIGNATOR_10,DESIGNATOR_11,DESIGNATOR_12,DESIGNATOR_13,DESIGNATOR_14,DESIGNATOR_15,DESIGNATOR_16,DESIGNATOR_17,DESIGNATOR_18,DESIGNATOR_19,DESIGNATOR_20,DESIGNATOR_21,DESIGNATOR_22,DESIGNATOR_23,DESIGNATOR_24,DESIGNATOR_25,GRADES_1,GRADES_2,LENGTH OF VALIDITY,MANPOWER TYPE,PRIMARY CONSULTANT_1,PRIMARY CONSULTANT_2,PRIMARY CONSULTANT_3,PRIMARY CONSULTANT_4,PRIMARY CONSULTANT_5,AUXILIARY CONSULTANT_1,AUXILIARY CONSULTANT_2,AUXILIARY CONSULTANT_3,AUXILIARY CONSULTANT_4,AUXILIARY CONSULTANT_5,AUXILIARY CONSULTANT_6,,,,,,,,,,
QL5,,Q,L,Surface,5,Requirements,"(a) Earned AQD Code QL3.
AND
(b)Successfully completed a tour in a Special Warfare Maritime Mobility requirements billet.
",,,,717X,,,,,,,,,,,,,,,,,,,W3 TO W4,,Indefinite,Active,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPNAV N137,,,,,OPNAV N951,BUPERS - 311,PERS-415,,,,,,,,,,,,,
QL6,,Q,L,Surface,6,Operations,"(a) Earned AQD Code QL3.
AND
(b) Successfully completed a tour in an Operations CWO Billet.
",,,,717X,,,,,,,,,,,,,,,,,,,W3 TO W4,,Indefinite,Active,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPNAV N137,,,,,OPNAV N951,BUPERS - 311,PERS-415,,,,,,,,,,,,,
QL7,,Q,L,Surface,7,Command Chief Warrant Officer,"Earned AQD code QL4.
AND
Successfully completed 12 months in a Command Chief Warrant Officer billet.
",,,,717X,,,,,,,,,,,,,,,,,,,W4 TO W5,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPNAV N137,,,,,OPNAV N951,BUPERS - 311,BUPERS -315,PERS-415,,,,,,,,,,,,
QL8,,Q,L,Surface,8,Maritime Mission Commander (MMC) Qualified,Qualified Maritime Mission Commander (MMC) IAW COMNAVSPECWARGRUFOURINST 3120.3 (series).,,,,113X,715X,717X,,,,,,,,,,,,,,,,,W2 TO O5,,Indefinite,Active,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPNAV N137,,,,,OPNAV N951,BUPERS - 311,PERS-415,,,,,,,,,,,,,
QM1,,Q,M,Reconnaissance,1,Operational Experience,Successfully completed a tour at a Special Reconnaissance Team.,,,,113X,,,,,,,,,,,,,,,,,,,O2 TO O5,,Indefinite,Active,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPNAV N137,,,,,OPNAV N951,BUPERS - 311,PERS-415,,,,,,,,,,,,,
QM8,,Q,M,Reconnaissance,8,ASOTC,Successfully completed the Advanced Special Operations Techniques Course.,,,,113X,715X,717X,,,,,,,,,,,,,,,,,W2 TO O5,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPNAV N137,,,,,OPNAV N951,BUPERS - 311,BUPERS -315,PERS-415,,,,,,,,,,,,
QM9,,Q,M,Reconnaissance,9,ASOTMC,Successfully completed the Advanced Special Operations Techniques Managers Course.,,,,113X,715X,717X,,,,,,,,,,,,,,,,,W2 TO O5,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPNAV N137,,,,,OPNAV N951,BUPERS - 311,BUPERS -315,PERS-415,,,,,,,,,,,,
QN1,,Q,N,Training,1,Staff Experience,"Successfully completed a tour at a Basic Training Command, Advance training Command, or Training Detachment.",,,,113X,,,,,,,,,,,,,,,,,,,O2 TO O5,,Indefinite,Active,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPNAV N137,,,,,OPNAV N951,BUPERS - 311,BUPERS -315,PERS-415,,,,,,,,,,,,
QN2,,Q,N,Training,2,SWCC,"(a) Earned AQD Code QL2.
AND
(b) This AQD Code will be awarded upon successful completion of a tour in a Training Officer billet.
",,,,717X,,,,,,,,,,,,,,,,,,,W2 TO W3,,Indefinite,Active,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPNAV N137,,,,,OPNAV N951,BUPERS - 311,PERS-415,,,,,,,,,,,,,
QN3,,Q,N,SEAL,3,Training,"(a) Earned AQD Code QO1.
AND
(b) Successfully completed a tour in a Training Officer billet.
",,,,715X,,,,,,,,,,,,,,,,,,,W3 TO W4,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPNAV N137,,,,,OPNAV N951,BUPERS - 311,BUPERS -315,PERS-415,,,,,,,,,,,,
QO1,,Q,O,Special Warfare Technician,1,Division Officer,Successfully completed a tour in a Division Officer Billet,,,,715X,,,,,,,,,,,,,,,,,,,W2 TO W3,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPNAV N137,,,,,OPNAV N951,BUPERS - 311,BUPERS -315,PERS-415,,,,,,,,,,,,
QO2,,Q,O,Special Warfare Technician,2,Assistant Department Head,"Earned AQD code QO1.
AND
Successfully completed a tour in an Assistant Department Head billet.
",,,,715X,,,,,,,,,,,,,,,,,,,W2 TO W4,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPNAV N137,,,,,OPNAV N951,BUPERS - 311,BUPERS -315,PERS-415,,,,,,,,,,,,
QO3,,Q,O,Special Warfare Technician,3,Department Head,"Earned AQD code QO2.
AND
Successfully completed a tour in a Department head billet.
",,,,715X,,,,,,,,,,,,,,,,,,,W3 TO W5,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPNAV N137,,,,,OPNAV N951,BUPERS - 311,BUPERS -315,PERS-415,,,,,,,,,,,,
QO4,,Q,O,Special Warfare Technician,4,Command Chief Warrant Officer,"Earned AQD code QO3.
AND
Successfully completed 12 months in a Command Chief Warrant Officer billet.
",,,,715X,,,,,,,,,,,,,,,,,,,W4 TO W5,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPNAV N137,,,,,OPNAV N951,BUPERS - 311,BUPERS -315,PERS-415,,,,,,,,,,,,
QO5,,Q,O,Special Warfare Technician,5,Operations,"(a) Earned AQD Code QO2.
AND
(b) Successfully completed a tour in an Operations CWO billet.
",,,,715X,,,,,,,,,,,,,,,,,,,W3 TO W4,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPNAV N137,,,,,OPNAV N951,BUPERS - 311,BUPERS -315,PERS-415,,,,,,,,,,,,
QO6,,Q,O,Special Warfare Technician,6,Requirements,"(a) Earned AQD Code QO1.
AND
(b) Successfully completed a tour in a Naval Special Warfare-peculiar acquisitions and requirements billet.
",,,,715X,,,,,,,,,,,,,,,,,,,W2 TO W4,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPNAV N137,,,,,OPNAV N951,BUPERS - 311,BUPERS -315,PERS-415,,,,,,,,,,,,
HUMAN RESOURCES,"AQD codes having the first character ""R"" are used to identify selected billets, officer experience, billet requirements and officer qualifications pertaining to Human Resource officers.
These AQD codes are assigned to officers by PERS-4 and assigned to billets by N12.
",R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RA1,,R,A,Human Resource Officer,1,PHR,"Been certified as a Professional in Human Resources (PHR) as determined by successfully passing the PHR exam administered by Human Resource Certification Institute (HRCI).  Recommended for, but not limited to, all HR Officers (DESIG 12XX) in paygrades O1 to O6.",,,,ALL,,,,,,,,,,,,,,,,,,,ALL,,36 Months. HRCI recertification is required to maintain code,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUPERS - 311,BUPERS -315,,,,PERS-4421,,,,,,,,,,,,,,,
RA2,,R,A,Human Resource Officer,2,SPHR,"Been certified as a Senior Professional in Human Resources (SPHR) as determined by successfully passing the SPHR exam administered by Human Resources Certification Institute (HRCI). Recommended for, but not limited to, all HR Officers (DESIG 12XX) in paygrades O5 to O10.",,,,ALL,,,,,,,,,,,,,,,,,,,ALL,,36 Months. HRCI recertification is required to maintain code,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUPERS - 311,BUPERS -315,,,,PERS-4421,,,,,,,,,,,,,,,
RA3,,R,A,Human Resource Officer,3,GPHR,"Been certified as a Global Professional in Human Resources (GPHR) as determined by successfully passing the GPHR exam administered by Human Resources Certification Institute (HRCI). Recommended for, but not limited to, all HR Officers (DESIG 12XX) in paygrades O5 to O10.",,,,ALL,,,,,,,,,,,,,,,,,,,ALL,,36 Months. HRCI recertification is required to maintain code,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUPERS - 311,BUPERS -315,,,,PERS-4421,,,,,,,,,,,,,,,
RA4,,R,A,Human Resource Officer,4,CPT,"Been certified as a Certified Performance Technologist (CPT) as determined by successfully passing the CPT review administered by the International Society for Performance Improvement (ISPI). Recommended for, but not limited to, all HR Officers (DESIG 12XX) in paygrades O3 to O10.",,,,ALL,,,,,,,,,,,,,,,,,,,ALL,,36 Months. ISPI recertification is required to maintain code,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUPERS - 311 - HR,,,,,PERS-4421,,,,,,,,,,,,,,,
RB4,,R,B,"HR 
Milestone Assignment
",4,Lieutenant Commander,Successfully completed at least 18 months in a designated HR milestone assignment.,,,,120X,,,,,,,,,,,,,,,,,,,O3 TO O5,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUPERS - 311 - HR,,,,,PERS-4421,,,,,,,,,,,,,,,
RB5,,R,B,"HR 
Milestone Assignment
",5,Commander,Successfully completed at least 18 months in a designated HR milestone assignment.,,,,120X,,,,,,,,,,,,,,,,,,,O4 TO O6,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUPERS - 311 - HR,,,,,PERS-4421,,,,,,,,,,,,,,,
RB6,,R,B,"HR 
Milestone Assignment
",6,Captain,Successfully completed at least 18 months in a designated HR milestone assignment.,,,,120X,,,,,,,,,,,,,,,,,,,O5 TO O6,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUPERS - 311,BUPERS -315,,,,PERS-4421,,,,,,,,,,,,,,,
RDX*,,R,D,Development,X*,Relative experience indicated by code.,Code assigned/updated upon successful completion of a tour in a qualifying billet. **,,,,12XX,,,,,,,,,,,,,,,,,,,O1 TO O10,,Indefinite,Active and Reserve,Billets coded with RDX require an officer who has previously been awarded the RDX code prior to reporting to ultimate duty assignment. ***,,,,12XX,,,,,,,,,,,,,,,,,,,,,,,,,O1 TO O10,,,Active and Reserve,BUPERS - 311,BUPERS -315,,,,PERS-4421,,,,,,,,,,,,,,,
REX*,,R,E,Management,X*,Relative experience indicated by code.,Code assigned/updated upon successful completion of a tour in a qualifying billet. **,,,,12XX,,,,,,,,,,,,,,,,,,,O1 TO O10,,Indefinite,Active and Reserve,Billets coded with REX require an officer who has previously been awarded the REX code prior to reporting to ultimate duty assignment. ***,,,,12XX,,,,,,,,,,,,,,,,,,,,,,,,,O1 TO O10,,,Active and Reserve,BUPERS - 311,BUPERS -315,,,,PERS-4421,,,,,,,,,,,,,,,
RFX*,,R,F,Recruiting,X*,Relative experience indicated by code.,Code assigned/updated upon successful completion of a tour in a qualifying billet. **,,,,12XX,,,,,,,,,,,,,,,,,,,O1 TO O10,,Indefinite,Active and Reserve,Billets coded with RFX require an officer who has previously been awarded the RFX code prior to reporting to ultimate duty assignment. ***,,,,12XX,,,,,,,,,,,,,,,,,,,,,,,,,O1 TO O10,,,Active and Reserve,BUPERS - 311,BUPERS -315,,,,PERS-4421,,,,,,,,,,,,,,,
RGX*,,R,G,Requirements,X*,Relative experience indicated by code.,Code assigned/updated upon successful completion of a tour in a qualifying billet. **,,,,12XX,,,,,,,,,,,,,,,,,,,O1 TO O10,,Indefinite,Active and Reserve,Billets coded with RGX require an officer who has previously been awarded the RGX code prior to reporting to ultimate duty assignment. ***,,,,12XX,,,,,,,,,,,,,,,,,,,,,,,,,O1 TO O10,,,Active and Reserve,BUPERS - 311,BUPERS -315,,,,PERS-4421,,,,,,,,,,,,,,,
RH4,,R,H,HR Headquarters,4,Lieutenant Commander,Successfully completed a tour in a designated HR Headquarters assignment as a Lieutenant Commander.,,,,120X,,,,,,,,,,,,,,,,,,,O4,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUPERS - 311,BUPERS -315,,,,PERS-4421,,,,,,,,,,,,,,,
RH5,,R,H,HR Headquarters,5,Commander,Successfully completed a tour in a designated HR Headquarters assignment as a Commander.,,,,120X,,,,,,,,,,,,,,,,,,,O5,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUPERS - 311,BUPERS -315,,,,PERS-4421,,,,,,,,,,,,,,,
RIA,,R,I,Force Development,A,Novice,"(a) Force Development assigned as primary HR competency area.
AND
(b) Successfully completed a tour in a qualifying HR Force Development assignment.
AND
(c) Successful completion of community competency level requirements.
",,,,120X,,,,,,,,,,,,,,,,,,,O1 TO O5,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUPERS - 311,BUPERS -315,,,,PERS-4421,,,,,,,,,,,,,,,
RIB,,R,I,Force Development,B,Intermediate,"(a) Force Development assigned as primary HR competency area.
AND
(b) Successfully completed at least two separate tours in qualifying HR Force Development assignments.
AND
(c) Successful completion of community competency level requirements.
",,,,120X,,,,,,,,,,,,,,,,,,,O3 TO O6,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUPERS - 311,BUPERS -315,,,,PERS-4421,,,,,,,,,,,,,,,
RIC,,R,I,Force Development,C,Advanced,"(a) Force Development assigned as primary HR competency area.
AND
(b) Successfully completed at least three separate tours in qualifying HR Force Development assignments.
AND
(c) Successful completion of community competency level requirements.
",,,,120X,,,,,,,,,,,,,,,,,,,O3 TO O6,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUPERS - 311,BUPERS -315,,,,PERS-4421,,,,,,,,,,,,,,,
RID,,R,I,Force Development,D,Expert,"(a) Force Development assigned as primary HR competency area.
AND
(b) Successfully completed at least four separate tours in qualifying HR Force Development assignments.
AND
(c) Successful completion of community competency level requirements.
",,,,120X,,,,,,,,,,,,,,,,,,,O4 TO O6,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUPERS - 311,BUPERS -315,,,,PERS-4421,,,,,,,,,,,,,,,
RIX*,,R,I,Force Development,X*,Relative experience indicated by code,Code assigned/updated upon successful completion of a tour in a qualifying HR Force Development assignment.,X indicates cumulative relative experience accrued across career.,,,120X,,,,,,,,,,,,,,,,,,,O1 TO O10,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUPERS - 311,BUPERS -315,,,,PERS-4421,,,,,,,,,,,,,,,
RJA,,R,J,Force Management,A,Novice,"(a) Force Management assigned as primary HR competency area.
AND
(b) Successfully completed a tour in a qualifying HR Force Management assignment.
AND
(c) Successful completion of community competency level requirements.
",,,,120X,,,,,,,,,,,,,,,,,,,O1 TO O4,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUPERS - 311,BUPERS -315,,,,PERS-4421,,,,,,,,,,,,,,,
RJB,,R,J,Force Management,B,Intermediate,"(a) Force Management assigned as primary HR competency area.
AND
(b) Successfully completed at least two separate tours in qualifying HR Force Management assignments.
AND
(c) Successful completion of community competency level requirements.
",,,,120X,,,,,,,,,,,,,,,,,,,O3 TO O6,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUPERS - 311,BUPERS -315,,,,PERS-4421,,,,,,,,,,,,,,,
RJC,,R,J,Force Management,C,Advanced,"(a) Force Management assigned as primary HR competency area.
AND
(b) Successfully completed at least three separate tours in qualifying HR Force Management assignments.
AND
(c) Successful completion of community competency level requirements.
",,,,120X,,,,,,,,,,,,,,,,,,,O3 TO O6,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUPERS - 311,BUPERS -315,,,,PERS-4421,,,,,,,,,,,,,,,
RJD,,R,J,Force Management,D,Expert,"(a) Force Management assigned as primary HR competency area.
AND
(b) Successfully completed at least four separate tours in qualifying HR Force Management assignments.
AND
(c) Successful completion of community competency level requirements.
",,,,120X,,,,,,,,,,,,,,,,,,,O4 TO O6,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUPERS - 311,BUPERS -315,,,,PERS-4421,,,,,,,,,,,,,,,
RJX*,,R,J,Force Management,X*,Relative experience indicated by code,Code assigned/updated upon successful completion of a tour in a qualifying HR Force Management assignment.,X indicates cumulative relative experience accrued across career.,,,120X,,,,,,,,,,,,,,,,,,,O1 TO O10,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUPERS - 311,BUPERS -315,,,,PERS-4421,,,,,,,,,,,,,,,
RKA,,R,K,Force Requirements and Resourcing,A,Novice,"(a) Force Requirements and Resourcing assigned as primary HR competency area.
AND
(b) Successfully completed a tour in a qualifying HR Force Requirements and Resourcing assignment.
AND
(c) Successful completion of community competency level requirements.
",,,,120X,,,,,,,,,,,,,,,,,,,O1 TO O5,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUPERS - 311,BUPERS -315,,,,PERS-4421,,,,,,,,,,,,,,,
RKB,,R,K,Force Requirements and Resourcing,B,Intermediate,"(a) Force Requirements and Resourcing assigned as primary HR competency area.
AND
(b) Successfully completed at least two separate tours in qualifying HR Force Requirements and Resourcing assignments.
AND
(c) Successful completion of community competency level requirements.
",,,,120X,,,,,,,,,,,,,,,,,,,O3 TO O6,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUPERS - 311,BUPERS -315,,,,PERS-4421,,,,,,,,,,,,,,,
RKC,,R,K,Force Requirements and Resourcing,C,Advanced,"(a) Force Requirements and Resourcing assigned as primary HR competency area.
AND
(b) Successfully completed at least three separate tours in qualifying HR Force Requirements and Resourcing assignments.
AND
(c) Successful completion of community competency level requirements.
",,,,120X,,,,,,,,,,,,,,,,,,,O3 TO O6,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUPERS - 311,BUPERS -315,,,,PERS-4421,,,,,,,,,,,,,,,
RKD,,R,K,Force Requirements and Resourcing,D,Expert,"(a) Force Requirements and Resourcing assigned as primary HR competency area.
AND
(b) Successfully completed at least four separate tours in qualifying HR Force Requirements and Resourcing assignments.
AND
(c) Successful completion of community competency level requirements.
",,,,120X,,,,,,,,,,,,,,,,,,,O4 TO O6,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUPERS - 311,BUPERS -315,,,,PERS-4421,,,,,,,,,,,,,,,
RKX*,,R,K,Force Requirements and Resourcing,X*,Relative experience indicated by code,Code assigned/updated upon successful completion of a tour in a qualifying HR Force Requirements and Resourcing assignment.,X indicates cumulative relative experience accrued across career.,,,120X,,,,,,,,,,,,,,,,,,,O1 TO O10,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUPERS - 311,BUPERS -315,,,,PERS-4421,,,,,,,,,,,,,,,
RLC,,R,L,HR Leadership,C,Major Command Eligible,"a) Successfully completed an HR Community designated O-5 Commanding Officer assignment.
AND
(b) Earned the AQD 2D2.
OR
(c) Successfully complete the HR Professional Qualification Standards (PQS) NAVEDTRA 43090 series for Major Command/Captain Command Commanding Officer, pass an oral board, and receive HR Flag approval.",,,,120X,,,,,,,,,,,,,,,,,,,O5 TO O6,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUPERS - 311-HR,BUPERS -315,,,,PERS-4421,,,,,,,,,,,,,,,
RLS,,R,L,HR Leadership,S,HR Sea Duty,Successful completion of a tour in a qualifying type 2/4 coded deployable billet.,,,,120X,,,,,,,,,,,,,,,,,,,O1 TO O10,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUPERS - 311,BUPERS -315,,,,PERS-4421,,,,,,,,,,,,,,,
RL4,,R,L,HR Leadership,4,Lieutenant Commander,"(a) Selected for Lieutenant Commander HR Leadership at an Administrative Selection Board. 
AND
(b) Successfully completed designated course at the Naval Leadership and Ethics Center. 
AND
(c) Successfully completed a tour in a designated Lieutenant Commander HR Leadership billet.
AND
(d) Officer must be command qualified or eligible (2D1/2D2) to be assigned to a command assignment.
",,,,120X,,,,,,,,,,,,,,,,,,,O4 TO O5,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUPERS - 311,BUPERS -315,,,,PERS-4421,,,,,,,,,,,,,,,
RL5,,R,L,HR Leadership,5,Commander,"(a) Selected for Commander HR Leadership at an Administrative Selection Board. 
AND
(b) Successfully completed designated course at the Naval Leadership and Ethics Center. 
AND
(c) Successfully completed a tour in a designated Commander HR Leadership billet.
AND
(d) Officer must be command qualified or eligible (2D1/2D2) to be assigned to a command assignment.
",,,,120X,,,,,,,,,,,,,,,,,,,O5 TO O6,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUPERS - 311,BUPERS -315,,,,PERS-4421,,,,,,,,,,,,,,,
RMX*,,R,M,Manpower Requirements,X*,Relative experience indicated by code,Successful completion of a tour in a qualifying Manpower Requirements billet. **,"X indicates cumulative relative experience
accrued across career.
",,,120X,,,,,,,,,,,,,,,,,,,O1 TO O10,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUPERS - 311,BUPERS -315,,,,PERS-4421,,,,,,,,,,,,,,,
RNX*,,R,N,N1,X*,Relative experience indicated by code,Successful completion of a tour in a qualifying Fleet/TYCOM/COCOM N1 billet. **,"X indicates cumulative relative experience
accrued across career.
",,,120X,,,,,,,,,,,,,,,,,,,O1 TO O10,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUPERS - 311,BUPERS -315,,,,PERS-4421,,,,,,,,,,,,,,,
ROX*,,R,O,Financial Management,X*,Relative experience indicated by code,Successful completion of a tour in a qualifying Financial Management billet. **,"X indicates cumulative relative experience
accrued across career.
",,,120X,,,,,,,,,,,,,,,,,,,O1 TO O10,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUPERS - 311,BUPERS -315,,,,PERS-4421,,,,,,,,,,,,,,,
RPX*,,R,P,Personnel Pay and Policy,,,"Successful completion of a tour in a qualifying Personnel, Pay and Policy billet.   **","X indicates cumulative relative experience
accrued across career.
",,,120X,,,,,,,,,,,,,,,,,,,O1 TO O10,,Indefinite,Active and Reserve,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUPERS - 311,BUPERS -315,,,,PERS-4421,,,,,,,,,,,,,,,
,,,,,,,,"* X is replaced by the number 1 through 9 to correspond to cumulative units of experience assigned based on the list published on the HR website (http://www.npc.navy.mil/Officer/Pers44/HumanResources).  Since it is possible to develop skills in multiple specialty areas during one assignment, officers will be assigned 2 units to document experience gained in the primary specialty area during a tour and 1 unit to document experience gained in a secondary specialty area during the same tour.",** The assignment of experience units to billets is accomplished by the HR Board of Directors and approved by the HR Executive Board.  This list of primary and secondary units will be available on the HR website.,*** The 3rd digit of the Officer’s AQD must be greater than or equal to the 3rd digit of the AQD on the billet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUBMARINE WARFARE,"AQD codes having the first character ""S"" are used to modify select billet requirements and officer qualifications pertaining to submarine and related warfare specialties.
hese AQD codes are assigned to billets by N12 and to personnel by PERS-4.  
RThe second character ""N"" may only be assigned or modified by the nuclear submarine officer detailer in the case of officers.  
The second character ""U"" is used to indicate an officer who has qualified in submarines after designation as a 14XX.
",S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
